table,wiki_id,confidence,array_has_dup,question,fragments,suggested_merge,full_similar
knowledge_base_v1,ICWIKI202307243835,HIGH,Y,错误 26-沿墙传感器异常，请擦拭沿墙传感器,沿墙传感器异常 | 请擦拭沿墙传感器,沿墙传感器异常，请擦拭沿墙传感器,"[""扫地机器人出现错误26怎么办？"", ""错误 26"", ""错误二十六"", ""沿墙传感器异常"", ""请擦拭沿墙传感器"", ""沿墙传感器异常"", ""请擦拭沿墙传感器""]"
knowledge_base_v1,ICWIKI202307243844,HIGH,Y,错误11-检测到强磁场，请远离虚拟墙重新启动,检测到强磁场 | 请远离虚拟墙重新启动,检测到强磁场，请远离虚拟墙重新启动,"[""错误 11"", ""错误十一"", ""检测到强磁场"", ""检测到强磁场"", ""请远离虚拟墙重新启动""]"
knowledge_base_v1,ICWIKI202307243850,HIGH,,错误3-主机悬空，请将主机移到新位置启动,主机悬空 | 请将主机移到新位置启动,主机悬空，请将主机移到新位置启动,"[""错误3"", ""错误三"", ""主机悬空"", ""请将主机移到新位置启动"", ""主机移到新位置启动"", ""机器人一直提示主机悬空怎么办"", ""主机悬空应该怎么处理"", ""报主机悬空""]"
knowledge_base_v1,ICWIKI202307243852,HIGH,,错误9- 尘盒未装回，请装回尘盒及滤网,尘盒未装回 | 请装回尘盒及滤网,尘盒未装回，请装回尘盒及滤网,"[""扫地机器人错误9---请装回尘盒及滤网"", ""提示尘盒未安装"", ""提示尘盒取出"", ""错误9"", ""错误九"", ""尘盒未装回"", ""请装回尘盒及滤网""]"
knowledge_base_v1,ICWIKI202307243889,HIGH,,错误 44-清确认污水箱上盖已扣紧，并清理清洗槽滤网,清确认污水箱上盖已扣紧 | 并清理清洗槽滤网,清确认污水箱上盖已扣紧，并清理清洗槽滤网,"[""错误44"", ""错误四十四"", ""清确认污水箱上盖已扣紧"", ""并清理清洗槽滤网""]"
knowledge_base_v1,ICWIKI202307243891,HIGH,,错误53-清洗盘水满，并清理排水口异物,清洗盘水满 | 并清理排水口异物,清洗盘水满，并清理排水口异物,"[""错误 53"", ""错误五十三"", ""清洗盘水满"", ""并清理排水口异物"", ""检查并清理排水口异物"", ""53异常"", ""清水盘满""]"
knowledge_base_v1,ICWIKI202307243953,HIGH,,错误2-请检查并轻拍碰撞缓冲器，确认未卡住,请检查并轻拍碰撞缓冲器 | 确认未卡住,请检查并轻拍碰撞缓冲器，确认未卡住,"[""错误 2"", ""错误二"", ""请检查并轻拍碰撞缓冲器"", ""确认未卡住"", ""碰撞缓冲器卡住怎么办""]"
knowledge_base_v1,ICWIKI202307260005,HIGH,,错误17—边刷模组异常，请尝试重置系统,边刷模组异常 | 请尝试重置系统,边刷模组异常，请尝试重置系统,"[""边刷无法使用"", ""提示我重置系统"", ""错误17"", ""错误十七"", ""边刷模组异常"", ""请尝试重置系统""]"
knowledge_base_v1,ICWIKI202307260008,HIGH,,错误15-沿墙传感器异常，请擦拭沿墙传感器,沿墙传感器异常 | 请擦拭沿墙传感器,沿墙传感器异常，请擦拭沿墙传感器,"[""错误15"", ""错误十五"", ""沿墙传感器异常"", ""请擦拭沿墙传感器""]"
knowledge_base_v1,ICWIKI202307260009,HIGH,,错误 16-主机倾斜，请将主机放置到水平地面启动,主机倾斜 | 请将主机放置到水平地面启动,主机倾斜，请将主机放置到水平地面启动,"[""错误16"", ""错误十六"", ""主机倾斜"", ""请将主机放置到水平地面启动""]"
knowledge_base_v1,ICWIKI202307260010,HIGH,,错误21—激光头压力传感器异常，请清理激光头上盖异物,激光头压力传感器异常 | 请清理激光头上盖异物,激光头压力传感器异常，请清理激光头上盖异物,"[""错误21—激光头压力传感器异常"", ""请确认激光头上盖未被压住"", ""错误21"", ""错误二十一"", ""激光头压力传感器异常"", ""请清理激光头上盖异物""]"
knowledge_base_v1,ICWIKI202307260011,HIGH,Y,错误22—回充传感器异常，请擦拭回充传感器,回充传感器异常 | 请擦拭回充传感器,回充传感器异常，请擦拭回充传感器,"[""错误22"", ""错误二十二"", ""回充传感器异常"", ""请擦拭回充传感器"", ""回充传感器异常"", ""请擦拭回充传感器""]"
knowledge_base_v1,ICWIKI202307260014,HIGH,,错误28-主机无法在地毯上启动，请将主机搬离此区域,主机无法在地毯上启动 | 请将主机搬离此区域,主机无法在地毯上启动，请将主机搬离此区域,"[""错误28"", ""错误二十八"", ""主机无法在地毯上启动"", ""请将主机搬离此区域"", ""报错误28怎么办"", ""什么是错误28""]"
knowledge_base_v1,ICWIKI202307260019,HIGH,Y,错误 40-清洗槽滤网未安装，请装回清洗槽滤网,清洗槽滤网未安装 | 请装回清洗槽滤网,清洗槽滤网未安装，请装回清洗槽滤网,"[""机器人回洗时"", ""报错误40：清洗槽滤网未安装"", ""请装回清洗槽滤网"", ""应如何处理？"", ""错误40"", ""错误四十"", ""清洗槽滤网未安装"", ""请装回清洗槽滤网""]"
knowledge_base_v1,ICWIKI202308090027,HIGH,,错误43- 请拨动回洗到位开关，并移到新位置启动,请拨动回洗到位开关 | 并移到新位置启动,请拨动回洗到位开关，并移到新位置启动,"[""扫地机器人报错误43-回洗到位开关异常"", ""应如何处理？"", ""错误 43"", ""错误四十三"", ""请拨动回洗到位开关"", ""并移到新位置启动""]"
knowledge_base_v1,ICWIKI202309040299,HIGH,,错误 4-悬崖传感器异常，请擦拭悬崖传感器并移动新位置启动,悬崖传感器异常 | 请擦拭悬崖传感器并移动新位置启动,悬崖传感器异常，请擦拭悬崖传感器并移动新位置启动,"[""机器人报错误4：悬崖传感器异常怎么办？"", ""错误4"", ""错误四"", ""悬崖传感器异常"", ""请擦拭悬崖传感器并移动新位置启动"", ""请擦拭悬崖传感器"", ""悬崖传感器故障""]"
knowledge_base_v1,ICWIKI202403211903,HIGH,,错误 8-可能卡住或困住，请移到新位置启动,可能卡住或困住 | 请移到新位置启动,可能卡住或困住，请移到新位置启动,"[""错误8"", ""错误八"", ""可能卡住或困住"", ""请移到新位置启动""]"
knowledge_base_v1,ICWIKI202404012062,HIGH,,错误52-请检查清洗盘，请装回清洗盘并确认安装到位,请检查清洗盘 | 请装回清洗盘并确认安装到位,请检查清洗盘，请装回清洗盘并确认安装到位,"[""错误52：请检查清洗盘"", ""并确保污水箱上盖已扣好怎么办？"", ""错误52"", ""错误五十二"", ""请检查清洗盘"", ""请装回清洗盘并确认安装到位""]"
knowledge_base_v1,ICWIKI202404232182,HIGH,Y,错误 42-请检查清洗槽滤网安装到位，检查并清理自清洁刷模组,请检查清洗槽滤网安装到位 | 检查并清理自清洁刷模组,请检查清洗槽滤网安装到位，检查并清理自清洁刷模组,"[""错误 42"", ""错误四十二"", ""请检查清洗槽滤网安装到位"", ""检查并清理自清洁刷模组"", ""请检查清洗槽滤网安装到位"", ""检查并清理自清洁刷模组""]"
knowledge_base_v1,ICWIKI202404232253,HIGH,,错误 48-进水异常，请打开水龙头并确认供水异常,进水异常 | 请打开水龙头并确认供水异常,进水异常，请打开水龙头并确认供水异常,"[""错误48"", ""错误四十八"", ""进水异常"", ""请打开水龙头并确认供水异常"", ""为什么会报“错误48：进水异常"", ""请打开水龙头并确认供水正常”？""]"
knowledge_base_v1,ICWIKI202405222678,HIGH,,"错误 24-检测到禁区或虚拟墙,请将主机搬离此区域",检测到禁区或虚拟墙 | 请将主机搬离此区域,检测到禁区或虚拟墙，请将主机搬离此区域,"[""机器人报错误24：检测到禁区或虚拟墙"", ""怎么处理？"", ""错误24"", ""错误二十四"", ""检测到禁区或虚拟墙"", ""请将主机搬离此区域""]"
knowledge_base_v1,ICWIKI202502280005,HIGH,,错误39-请清理污水箱，并安装到位,请清理污水箱 | 并安装到位,请清理污水箱，并安装到位,"[""错误 39"", ""错误三十九"", ""请清理污水箱"", ""并安装到位""]"
knowledge_base_v1,ICWIKI202502280049,HIGH,,错误18-吸尘风机异常，请尝试重置系统,吸尘风机异常 | 请尝试重置系统,吸尘风机异常，请尝试重置系统,"[""错误18"", ""吸尘风机异常"", ""请尝试重置系统"", ""错误十八""]"
knowledge_base_v1,ICWIKI202502280050,HIGH,,错误18-吸尘风机异常，请尝试重置系统,吸尘风机异常 | 请尝试重置系统,吸尘风机异常，请尝试重置系统,"[""错误18"", ""吸尘风机异常"", ""请尝试重置系统"", ""错误十八""]"
knowledge_base_v1,ICWIKI202505120002,HIGH,,错误22-回充传感器异常，请擦拭回充传感器,回充传感器异常 | 请擦拭回充传感器,回充传感器异常，请擦拭回充传感器,"[""错误22"", ""回充传感器异常"", ""请擦拭回充传感器"", ""错误二十二""]"
